Nome,Data,Popularidade,Gênero,Categoria,Tipo,Temporada
Vingadores: Guerras Secretas,2027-12-17,4.0793,Ficção científica,Filme,,
The Angry Birds Movie 3,2026-12-23,4.0753,"Família, Comédia, Aventura, Animação",Filme,,
Moana,2026-07-08,4.0352,"Aventura, Comédia, Família, Fantasia",Filme,,
白の花実,2025-12-26,4.003,Drama,Filme,,
Огненный мальчик,2025-11-06,3.9991,Drama,Filme,,
狂野时代,2025-11-22,3.9822,"Drama, Ficção científica, Mistério",Filme,,
Lucky Lu,2026-01-07,3.9233,Drama,Filme,,
Trap House,2025-11-14,3.9069,Ação,Filme,,
नागज़िला: नाग लोक का पहला कांड,2026-08-14,3.9068,"Comédia, Fantasia, Aventura",Filme,,
ది రాజా సాబ్,2026-01-09,3.9042,"Terror, Comédia, Romance",Filme,,
نجوم الأمل و الألم,2026-02-18,3.8375,"Romance, Drama, Comédia",Filme,,
রান্না বাটি,2025-11-07,3.8204,"Família, Drama",Filme,,
Ready or Not: Here I Come,2026-04-08,3.805,"Terror, Comédia",Filme,,
লহ গৌরাঙ্গের নাম রে,2025-12-25,3.8006,"História, Drama",Filme,,
Os Incríveis 3,2028-06-16,3.7955,"Ação, Aventura, Animação, Família",Filme,,
Авиатор,2025-11-20,3.7935,Ficção científica,Filme,,
Домовенок Кузя 2,2026-03-19,3.7828,"Comédia, Família, Fantasia",Filme,,
Gérald le Conquérant,2025-12-03,3.78,Comédia,Filme,,
Race/America,2025-11-01,3.7682,Documentário,Filme,,
Spartacus: House of Ashur,2025-12-05,3.7459,"Drama, Action & Adventure",Série,Nova Série,1
Nightmare Hospital,2025-11-25,3.7393,Terror,Filme,,
Hamnet: A Vida Antes de Hamlet,2025-11-27,3.7276,"Drama, História, Romance",Filme,,
National Theatre Live: Hamlet,2026-01-22,3.7152,Drama,Filme,,
The Magnificent Raiders of Dimension War One,2025-12-06,3.7025,Fantasia,Filme,,
ゴールデンカムイ 網走監獄襲撃編,2026-03-13,3.6778,"Ação, Aventura, História",Filme,,
Star Wars: Starfighter,2027-05-26,3.6749,"Ficção científica, Aventura",Filme,,
Космическая собака Лида,2025-11-27,3.669,"Ficção científica, Comédia, Aventura",Filme,,
A Royal Christmas Hope,2025-11-23,3.6466,Romance,Filme,,
Goodbye June,2025-12-12,3.6102,Drama,Filme,,
旅と日々,2025-11-07,3.5959,Drama,Filme,,
तू मेरी मैं तेरा मैं तेरा तू मेरी,2025-12-31,3.5558,"Romance, Comédia",Filme,,
O Conto do Czar Saltan,2026-02-12,3.5335,"Fantasia, Drama",Filme,,
Leave,2026-01-16,3.5295,"Drama, Thriller",Filme,,
Sandokan,2025-12-01,3.1486,"Action & Adventure, Drama, War & Politics",Série,Nova Série,1
O Manipulado,2025-11-05,2.6517,Crime,Série,Nova Série,1
Os Abandonados,2025-12-04,2.5921,"Drama, Faroeste",Série,Nova Série,1
Robin Hood,2025-11-02,2.5247,"Drama, Action & Adventure",Série,Nova Série,1
Tudo é Justo,2025-11-04,2.4547,"Drama, Comédia",Série,Nova Série,1
O Monstro em Mim,2025-11-13,1.9519,"Mistério, Drama",Série,Nova Série,1
Até o Último Samurai,2025-11-13,1.9175,"Action & Adventure, Drama",Série,Nova Série,1
Crutch,2025-11-03,1.8416,Comédia,Série,Nova Série,1
All Her Fault,2025-11-06,1.7766,Drama,Série,Nova Série,1
