hashtag,quantidade_posts
strangerthings,5
sturmderliebe,5
friereneajornadaparaoalm,0
vilassamo,0
fallout,5
maxtonhallomundoentrens,0
goldenglobeawards,5
pluribus,5
spartacushouseofashur,5
sandokan,5
omanipulado,0
osabandonados,0
robinhood,5
tudojusto,0
omonstroemmim,0
atoltimosamurai,0
crutch,5
allherfault,5
themightynein,5
x,5
comoumrelmpago,0
1726,0
ilovela,5
anatomadeuninstante,0
thefaithful,5
acaada,0
merteuil,3
striplaw,1
trinity,5
